epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,4,,,41.294715881347656,5.043638229370117,43.084815979003906,2.0,15.200596809387207
0,,4,23.18529510498047,,,,,,
,0.03,5,,,,,,,
1,,9,,,21.260677337646484,2.057030200958252,24.58489990234375,2.0,16.59162139892578
1,,9,14.595399856567383,,,,,,
,0.03,10,,,,,,,
2,,14,,,26.020063400268555,4.980598449707031,28.807117462158203,1.0941821336746216,10.645620346069336
2,,14,14.517074584960938,,,,,,
,0.03,15,,,,,,,
3,,19,,,25.547449111938477,2.693571090698242,28.383304595947266,2.0,9.307412147521973
3,,19,11.482177734375,,,,,,
,0.03,20,,,,,,,
4,,24,,,17.65737533569336,3.4250457286834717,19.52309799194336,0.9658904671669006,8.759296417236328
4,,24,11.286577224731445,,,,,,
,0.03,25,,,,,,,
5,,29,,,11.306490898132324,1.607274055480957,12.442181587219238,0.8306412100791931,6.601741790771484
5,,29,9.930757522583008,,,,,,
,0.03,30,,,,,,,
6,,34,,,12.364241600036621,2.006629228591919,13.14327621459961,0.8632258772850037,6.388391017913818
6,,34,8.644529342651367,,,,,,
,0.03,35,,,,,,,
7,,39,,,13.04239273071289,2.2627766132354736,13.958904266357422,0.8767845034599304,6.216983318328857
7,,39,8.57363510131836,,,,,,
,0.03,40,,,,,,,
8,,44,,,9.82089900970459,0.923225462436676,13.17832088470459,0.7448371052742004,5.1308393478393555
8,,44,8.579649925231934,,,,,,
,0.03,45,,,,,,,
9,,49,,8.313648223876953,,,,,
9,,49,,,10.036382675170898,1.1279934644699097,12.646767616271973,0.7608163952827454,5.977970123291016
9,,49,8.637090682983398,,,,,,
,0.03,50,,,,,,,
10,,54,,,12.140336036682129,1.924836277961731,12.937880516052246,0.8574077486991882,6.332485198974609
10,,54,8.816967964172363,,,,,,
,0.03,55,,,,,,,
11,,59,,,10.041986465454102,1.1320856809616089,12.633248329162598,0.7612410187721252,5.525693416595459
11,,59,8.850871086120605,,,,,,
,0.03,60,,,,,,,
12,,64,,,10.80496883392334,1.4203611612319946,12.38060188293457,0.8080868124961853,5.900694370269775
12,,64,8.745783805847168,,,,,,
,0.03,65,,,,,,,
13,,69,,,10.492729187011719,1.3020418882369995,12.436416625976562,0.7910811305046082,5.611690998077393
13,,69,8.297492980957031,,,,,,
